06:28:57:874 [ALWAYS]	GUDE Logging Started
06:28:57:874 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
06:28:57:874 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
06:28:57:874 [ERROR]	Initialize resume cache pointer failure
06:28:57:874 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
06:28:57:874 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
06:29:04:465 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
06:29:04:466 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
06:29:04:466 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
06:29:04:466 [ERROR]	Initialize resume cache pointer failure
06:29:04:466 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
06:29:04:466 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
