03:54:03:575 [ALWAYS]	GUDE Logging Started
03:54:03:575 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
03:54:03:576 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
03:54:03:576 [ERROR]	Initialize resume cache pointer failure
03:54:03:577 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
03:54:03:577 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
03:54:11:485 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
03:54:11:485 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
03:54:11:485 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
03:54:11:485 [ERROR]	Initialize resume cache pointer failure
03:54:11:485 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
03:54:11:485 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
