00:07:10:693 [ALWAYS]	GUDE Logging Started
00:07:10:693 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
00:07:10:693 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
00:07:10:693 [ERROR]	Initialize resume cache pointer failure
00:07:10:693 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
00:07:10:693 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
00:07:14:281 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
00:07:14:281 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
00:07:14:281 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
00:07:14:281 [ERROR]	Initialize resume cache pointer failure
00:07:14:281 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
00:07:14:281 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
